,carrier,type,p_nom,bus,marginal_cost,ramp_limit_up,ramp_limit_down,p_max_pu
Unmet Load Denny/Bonnybridge,Unmet Load,Unmet Load,999999999,Denny/Bonnybridge,999999999,1,1,1
Unmet Load Neilston,Unmet Load,Unmet Load,999999999,Neilston,999999999,1,1,1
Unmet Load Strathaven,Unmet Load,Unmet Load,999999999,Strathaven,999999999,1,1,1
Unmet Load Torness,Unmet Load,Unmet Load,999999999,Torness,999999999,1,1,1
Unmet Load Eccles,Unmet Load,Unmet Load,999999999,Eccles,999999999,1,1,1
Unmet Load Harker,Unmet Load,Unmet Load,999999999,Harker,999999999,1,1,1
Unmet Load Stella West,Unmet Load,Unmet Load,999999999,Stella West,999999999,1,1,1
Unmet Load Penwortham,Unmet Load,Unmet Load,999999999,Penwortham,999999999,1,1,1
Unmet Load Deeside,Unmet Load,Unmet Load,999999999,Deeside,999999999,1,1,1
Unmet Load Daines,Unmet Load,Unmet Load,999999999,Daines,999999999,1,1,1
Unmet Load Th. Marsh/Stocksbridge,Unmet Load,Unmet Load,999999999,Th. Marsh/Stocksbridge,999999999,1,1,1
Unmet Load Thornton/Drax/Eggborough,Unmet Load,Unmet Load,999999999,Thornton/Drax/Eggborough,999999999,1,1,1
Unmet Load Keadby,Unmet Load,Unmet Load,999999999,Keadby,999999999,1,1,1
Unmet Load Ratcliffe,Unmet Load,Unmet Load,999999999,Ratcliffe,999999999,1,1,1
Unmet Load Feckenham,Unmet Load,Unmet Load,999999999,Feckenham,999999999,1,1,1
Unmet Load Walpole,Unmet Load,Unmet Load,999999999,Walpole,999999999,1,1,1
Unmet Load Bramford,Unmet Load,Unmet Load,999999999,Bramford,999999999,1,1,1
Unmet Load Pelham,Unmet Load,Unmet Load,999999999,Pelham,999999999,1,1,1
Unmet Load Sundon/East Claydon,Unmet Load,Unmet Load,999999999,Sundon/East Claydon,999999999,1,1,1
Unmet Load Melksham,Unmet Load,Unmet Load,999999999,Melksham,999999999,1,1,1
Unmet Load Bramley,Unmet Load,Unmet Load,999999999,Bramley,999999999,1,1,1
Unmet Load London,Unmet Load,Unmet Load,999999999,London,999999999,1,1,1
Unmet Load Kemsley,Unmet Load,Unmet Load,999999999,Kemsley,999999999,1,1,1
Unmet Load Sellindge,Unmet Load,Unmet Load,999999999,Sellindge,999999999,1,1,1
Unmet Load Lovedean,Unmet Load,Unmet Load,999999999,Lovedean,999999999,1,1,1
Unmet Load S.W.Penisula,Unmet Load,Unmet Load,999999999,S.W.Penisula,999999999,1,1,1
Wind Offshore Keadby,Wind Offshore,Wind Offshore,180.06648,Keadby,0,1,1,1
Wind Offshore Stella West,Wind Offshore,Wind Offshore,748.8269703,Stella West,0,1,1,1
Wind Offshore Penwortham,Wind Offshore,Wind Offshore,1690.289566,Penwortham,0,1,1,1
Wind Offshore Neilston,Wind Offshore,Wind Offshore,207.7423598,Neilston,0,1,1,1
Wind Offshore Torness,Wind Offshore,Wind Offshore,218.73014,Torness,0,1,1,1
Wind Offshore Bramford,Wind Offshore,Wind Offshore,3139.236475,Bramford,0,1,1,1
Wind Offshore Peterhead,Wind Offshore,Floating Wind,2563.043025,Peterhead,0,1,1,1
Wind Offshore Deeside,Wind Offshore,Wind Offshore,1096.106143,Deeside,0,1,1,1
Wind Offshore Walpole,Wind Offshore,Wind Offshore,3873.993495,Walpole,0,1,1,1
Wind Offshore Kemsley,Wind Offshore,Wind Offshore,142.3713286,Kemsley,0,1,1,1
Wind Offshore Harker,Wind Offshore,Wind Offshore,177.5814421,Harker,0,1,1,1
Wind Offshore Sellindge,Wind Offshore,Wind Offshore,306.1749002,Sellindge,0,1,1,1
Wind Offshore Lovedean,Wind Offshore,Wind Offshore,408.2332003,Lovedean,0,1,1,1
Wind Offshore Beauly,Wind Offshore,Floating Wind,829.0844748,Beauly,0,1,1,1
Wind Onshore Thornton/Drax/Eggborough,Wind Onshore,Wind Onshore,309.4590864,Thornton/Drax/Eggborough,0,1,1,1
Wind Onshore Keadby,Wind Onshore,Wind Onshore,365.5631003,Keadby,0,1,1,1
Wind Onshore Ratcliffe,Wind Onshore,Wind Onshore,160.5506103,Ratcliffe,0,1,1,1
Wind Onshore Stella West,Wind Onshore,Wind Onshore,427.4327378,Stella West,0,1,1,1
Wind Onshore Penwortham,Wind Onshore,Wind Onshore,258.7880698,Penwortham,0,1,1,1
Wind Onshore S.W.Penisula,Wind Onshore,Wind Onshore,263.9993117,S.W.Penisula,0,1,1,1
Wind Onshore Neilston,Wind Onshore,Wind Onshore,2287.970401,Neilston,0,1,1,1
Wind Onshore Torness,Wind Onshore,Wind Onshore,970.8379483,Torness,0,1,1,1
Wind Onshore Bramford,Wind Onshore,Wind Onshore,41.24642804,Bramford,0,1,1,1
Wind Onshore Peterhead,Wind Onshore,Wind Onshore,975.5963729,Peterhead,0,1,1,1
Wind Onshore Deeside,Wind Onshore,Wind Onshore,482.206213,Deeside,0,1,1,1
Wind Onshore Walpole,Wind Onshore,Wind Onshore,351.5925307,Walpole,0,1,1,1
Wind Onshore Kemsley,Wind Onshore,Wind Onshore,101.7855378,Kemsley,0,1,1,1
Wind Onshore Harker,Wind Onshore,Wind Onshore,486.4195678,Harker,0,1,1,1
Wind Onshore Sellindge,Wind Onshore,Wind Onshore,74.6205576,Sellindge,0,1,1,1
Wind Onshore Beauly,Wind Onshore,Wind Onshore,2555.156,Beauly,0,1,1,1
Wind Onshore Melksham,Wind Onshore,Wind Onshore,818.2758851,Melksham,0,1,1,1
Wind Onshore Pelham,Wind Onshore,Wind Onshore,51.00364691,Pelham,0,1,1,1
Wind Onshore Daines,Wind Onshore,Wind Onshore,61.42613193,Daines,0,1,1,1
Wind Onshore Th. Marsh/Stocksbridge,Wind Onshore,Wind Onshore,88.4802413,Th. Marsh/Stocksbridge,0,1,1,1
Wind Onshore Bramley,Wind Onshore,Wind Onshore,2.217549849,Bramley,0,1,1,1
Wind Onshore Sundon/East Claydon,Wind Onshore,Wind Onshore,177.0713571,Sundon/East Claydon,0,1,1,1
Wind Onshore London,Wind Onshore,Wind Onshore,15.07933882,London,0,1,1,1
Wind Onshore Denny/Bonnybridge,Wind Onshore,Wind Onshore,397.090679,Denny/Bonnybridge,0,1,1,1
Wind Onshore Errochty,Wind Onshore,Wind Onshore,311.5579589,Errochty,0,1,1,1
Wind Onshore Feckenham,Wind Onshore,Wind Onshore,68.74404914,Feckenham,0,1,1,1
Wind Onshore Strathaven,Wind Onshore,Wind Onshore,1960.352717,Strathaven,0,1,1,1
Wind Onshore Eccles,Wind Onshore,Wind Onshore,124.075971,Eccles,0,1,1,1
Solar Photovoltaics Thornton/Drax/Eggborough,Solar Photovoltaics,Solar Photovoltaics,185.805175,Thornton/Drax/Eggborough,0,1,1,1
Solar Photovoltaics Keadby,Solar Photovoltaics,Solar Photovoltaics,478.792403,Keadby,0,1,1,1
Solar Photovoltaics Ratcliffe,Solar Photovoltaics,Solar Photovoltaics,889.9723721,Ratcliffe,0,1,1,1
Solar Photovoltaics Stella West,Solar Photovoltaics,Solar Photovoltaics,103.0530545,Stella West,0,1,1,1
Solar Photovoltaics Penwortham,Solar Photovoltaics,Solar Photovoltaics,175.1385813,Penwortham,0,1,1,1
Solar Photovoltaics S.W.Penisula,Solar Photovoltaics,Solar Photovoltaics,2750.432708,S.W.Penisula,0,1,1,1
Solar Photovoltaics Neilston,Solar Photovoltaics,Solar Photovoltaics,35.16280395,Neilston,0,1,1,1
Solar Photovoltaics Torness,Solar Photovoltaics,Solar Photovoltaics,175.8140197,Torness,0,1,1,1
Solar Photovoltaics Bramford,Solar Photovoltaics,Solar Photovoltaics,571.8670299,Bramford,0,1,1,1
Solar Photovoltaics Peterhead,Solar Photovoltaics,Solar Photovoltaics,75.95165636,Peterhead,0,1,1,1
Solar Photovoltaics Deeside,Solar Photovoltaics,Solar Photovoltaics,493.5880036,Deeside,0,1,1,1
Solar Photovoltaics Walpole,Solar Photovoltaics,Solar Photovoltaics,836.9834823,Walpole,0,1,1,1
Solar Photovoltaics Kemsley,Solar Photovoltaics,Solar Photovoltaics,454.8785855,Kemsley,0,1,1,1
Solar Photovoltaics Harker,Solar Photovoltaics,Solar Photovoltaics,96.51546496,Harker,0,1,1,1
Solar Photovoltaics Sellindge,Solar Photovoltaics,Solar Photovoltaics,292.8151908,Sellindge,0,1,1,1
Solar Photovoltaics Lovedean,Solar Photovoltaics,Solar Photovoltaics,757.6722113,Lovedean,0,1,1,1
Solar Photovoltaics Beauly,Solar Photovoltaics,Solar Photovoltaics,1.406512198,Beauly,0,1,1,1
Solar Photovoltaics Melksham,Solar Photovoltaics,Solar Photovoltaics,2632.928134,Melksham,0,1,1,1
Solar Photovoltaics Pelham,Solar Photovoltaics,Solar Photovoltaics,863.4779368,Pelham,0,1,1,1
Solar Photovoltaics Daines,Solar Photovoltaics,Solar Photovoltaics,111.483104,Daines,0,1,1,1
Solar Photovoltaics Th. Marsh/Stocksbridge,Solar Photovoltaics,Solar Photovoltaics,236.7295549,Th. Marsh/Stocksbridge,0,1,1,1
Solar Photovoltaics Bramley,Solar Photovoltaics,Solar Photovoltaics,607.6517304,Bramley,0,1,1,1
Solar Photovoltaics Sundon/East Claydon,Solar Photovoltaics,Solar Photovoltaics,867.0908085,Sundon/East Claydon,0,1,1,1
Solar Photovoltaics London,Solar Photovoltaics,Solar Photovoltaics,83.44028736,London,0,1,1,1
Solar Photovoltaics Denny/Bonnybridge,Solar Photovoltaics,Solar Photovoltaics,228.5582192,Denny/Bonnybridge,0,1,1,1
Solar Photovoltaics Errochty,Solar Photovoltaics,Solar Photovoltaics,2.109768078,Errochty,0,1,1,1
Solar Photovoltaics Feckenham,Solar Photovoltaics,Solar Photovoltaics,610.2323607,Feckenham,0,1,1,1
Solar Photovoltaics Strathaven,Solar Photovoltaics,Solar Photovoltaics,10.54884146,Strathaven,0,1,1,1
Large Hydro Neilston,Large Hydro,Large Hydro,248.832816,Neilston,0,1,1,1
Large Hydro Deeside,Large Hydro,Large Hydro,179.050251,Deeside,0,1,1,1
Large Hydro Harker,Large Hydro,Large Hydro,42.657054,Harker,0,1,1,1
Large Hydro Beauly,Large Hydro,Large Hydro,760.2799618,Beauly,0,1,1,1
Large Hydro Errochty,Large Hydro,Large Hydro,485.962287,Errochty,0,1,1,1
Large Hydro Strathaven,Large Hydro,Large Hydro,99.53313,Strathaven,0,1,1,1
Small Hydro Ratcliffe,Small Hydro,Small Hydro,1.85941,Ratcliffe,0,1,1,1
Small Hydro Stella West,Small Hydro,Small Hydro,0.8750165,Stella West,0,1,1,1
Small Hydro Neilston,Small Hydro,Small Hydro,35.87567626,Neilston,0,1,1,1
Small Hydro Deeside,Small Hydro,Small Hydro,11.59396879,Deeside,0,1,1,1
Small Hydro Beauly,Small Hydro,Small Hydro,94.72053654,Beauly,0,1,1,1
Small Hydro Denny/Bonnybridge,Small Hydro,Small Hydro,7.8751483,Denny/Bonnybridge,0,1,1,1
Small Hydro Errochty,Small Hydro,Small Hydro,79.18899239,Errochty,0,1,1,1
Small Hydro Feckenham,Small Hydro,Small Hydro,6.0157382,Feckenham,0,1,1,1
Tidal lagoon S.W.Penisula,Tidal lagoon,Tidal lagoon,5,S.W.Penisula,0,1,1,1
Tidal lagoon Deeside,Tidal lagoon,Tidal lagoon,6,Deeside,0,1,1,1
Tidal lagoon Melksham,Tidal lagoon,Tidal lagoon,15,Melksham,0,1,1,1
Tidal stream S.W.Penisula,Tidal stream,Tidal stream,5,S.W.Penisula,0,1,1,1
Tidal stream Neilston,Tidal stream,Tidal stream,10,Neilston,0,1,1,1
Tidal stream Peterhead,Tidal stream,Tidal stream,15,Peterhead,0,1,1,1
Tidal stream Deeside,Tidal stream,Tidal stream,5,Deeside,0,1,1,1
Tidal stream Lovedean,Tidal stream,Tidal stream,5,Lovedean,0,1,1,1
Tidal stream Beauly,Tidal stream,Tidal stream,26,Beauly,0,1,1,1
Wave power Beauly,Wave power,Wave power,6,Beauly,0,1,1,1
