Timestamp,Z10 Heat Demand with HPs,Z11 Heat Demand with HPs,Z12 Heat Demand with HPs,Z13 Heat Demand with HPs,Z14 Heat Demand with HPs,Z15 Heat Demand with HPs,Z16 Heat Demand with HPs,Z17 Heat Demand with HPs,Z1_1 Heat Demand with HPs,Z1_2 Heat Demand with HPs,Z1_3 Heat Demand with HPs,Z1_4 Heat Demand with HPs,Z2 Heat Demand with HPs,Z3 Heat Demand with HPs,Z4 Heat Demand with HPs,Z5 Heat Demand with HPs,Z6 Heat Demand with HPs,Z7 Heat Demand with HPs,Z8 Heat Demand with HPs,Z9 Heat Demand with HPs
02/01/2020 15:00,295.7664337,1016.391484,404.4158652,571.9443027,2019.16193,557.5655683,488.4121705,415.1425799,150.3143724,11.00534148,44.60417305,43.74878882,191.333305,30.93486251,74.74476902,699.6622104,500.0440754,472.0041611,587.263951,900.5379292
02/01/2020 16:00,360.445001,1016.391484,404.4158652,639.6034415,2258.022177,557.5655683,546.1897314,415.1425799,150.3143724,8.630342611,34.97840536,46.26939203,202.3570466,30.93486251,83.58683052,737.0607823,526.7725938,518.6946619,715.6875536,900.5379292
02/01/2020 17:00,295.7664337,1016.391484,404.4158652,687.9130648,2428.571917,557.5655683,546.1897314,359.3173444,150.3143724,9.282197453,37.62034484,50.1122118,219.1634411,30.93486251,67.10835847,737.0607823,526.7725938,548.5468744,715.6875536,1171.291703
02/01/2020 18:00,360.445001,1016.391484,404.4158652,694.0301924,2450.167501,557.5655683,592.667487,415.1425799,135.7462074,9.282197453,37.62034484,50.1122118,219.1634411,30.93486251,76.16657996,799.7806193,571.5980573,547.2277458,776.5886458,874.3414333
02/01/2020 19:00,383.8044984,1324.689783,404.4158652,681.0544671,2404.358686,557.5655683,581.5868589,337.0824727,132.5152024,9.284698667,37.63048215,49.21163087,215.224792,30.93486251,106.5892346,784.8277632,560.9113474,534.2027366,776.5886458,874.3414333
02/01/2020 20:00,383.8044984,1324.689783,404.4158652,639.6034415,2258.022177,557.5655683,560.3023117,359.3173444,132.5152024,8.969930508,36.35474042,47.67245619,208.4932828,30.93486251,74.51742834,756.1051342,540.3834694,510.0815282,686.8245523,1045.116366
02/01/2020 21:00,334.5301818,1324.689783,404.4158652,593.6180416,2095.677752,644.5453635,560.3023117,415.1425799,135.7462074,8.075650313,32.73026146,49.21163087,215.224792,22.93334638,50.62615952,684.0685177,488.8993636,461.4843877,635.1615351,966.5025996
02/01/2020 22:00,268.7427014,1324.689783,367.4649984,571.9443027,2019.16193,557.5655683,407.2313487,415.1425799,135.7462074,6.486994638,26.29150872,35.09911834,153.5043711,31.06992345,62.32116016,784.8277632,560.9113474,370.7305581,686.8245523,966.5025996
02/01/2020 23:00,268.7427014,1324.689783,301.979668,399.9090004,1411.817593,644.5453635,334.6593227,337.0824727,132.5152024,5.294300375,21.45757045,29.0416882,127.0124805,55.02020825,125.3583074,451.6091168,322.762127,304.6632777,447.4802285,966.5025996
03/01/2020 00:00,244.2360001,1324.689783,352.8417594,430.7229552,1520.60155,644.5453635,448.1809668,337.0824727,135.7462074,8.075650313,32.73026146,40.19344301,175.7841644,31.72276838,72.50949215,784.8277632,560.9113474,510.0815282,686.8245523,1045.116366
