FES Scenario,Building Block ID Number,Unit,DNO License Area,GSP,Latitude,Longitude,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Comment
Leading the Way,Lct_BB009,Number,ENW,Stalybridge,53.4922,-2.04367,4116.3,4231.7,4386.7,4558.9,4763.4,5051.5,5325.3,5791.2,6352.9,7086.1,7686.8,8727.9,9937.9,11336.2,13614.7,14548.9,16734.1,18846.2,20982.4,23061.1,22862.0,24680.1,26289.5,27695.6,28863.2,28478.5,29347.5,30216.0,31022.9,31216.9,
Leading the Way,Lct_BB009,Number,ENW,Stanah,53.87966201,-2.989774208,691.2,714.5,739.7,767.9,804.0,788.2,830.1,904.3,991.6,1105.3,1248.4,1417.5,1613.8,1841.8,2210.7,2467.6,2837.5,3196.5,3557.9,3911.9,4200.5,4534.1,4831.3,5088.7,5303.2,5360.7,5525.6,5688.7,5840.3,5876.8,
Leading the Way,Lct_BB009,Number,ENW,Walney 2,53.87966201,-2.989774208,138.2,140.3,146.2,152.3,157.5,155.9,164.0,178.7,194.7,217.4,246.3,279.0,318.0,362.5,436.2,486.3,559.7,630.0,701.8,770.6,827.9,894.5,951.8,1004.0,1045.4,1057.7,1089.6,1121.8,1151.3,1158.5,
Leading the Way,Lct_BB009,Number,ENW,Washway Farm,53.5622,-2.81975,1259.5,1297.1,1347.5,1399.0,1463.3,1441.5,1518.3,1652.1,1811.2,2021.6,2256.2,2561.6,2916.5,3326.7,3996.5,4378.2,5035.7,5671.1,6314.6,6940.0,7332.5,7914.7,8431.2,8882.8,9257.5,9380.4,9666.6,9951.1,10216.8,10280.7,
Leading the Way,Lct_BB009,Number,ENW,Whitegate,53.52960176,-2.163542932,1443.8,1488.5,1542.5,1604.2,1675.7,1641.2,1730.1,1881.4,2063.3,2301.4,2539.5,2884.0,3283.3,3745.1,4498.8,4851.6,5580.9,6285.0,6997.1,7691.1,8038.7,8678.1,9243.3,9738.4,10148.6,10312.0,10627.6,10941.3,11232.7,11303.0,
Leading the Way,Lct_BB009,Number,EPN,Amersham Main,51.66424942,-0.655116208,3455.9,3555.5,3687.1,3830.7,4003.4,4203.7,4432.1,4820.5,5287.3,5898.5,6401.4,7268.3,8276.7,9441.2,11339.3,12104.4,13922.7,15678.9,17457.1,19186.9,18966.0,20474.5,21810.0,22977.2,23944.7,23252.0,23960.3,24668.8,25328.0,25486.4,
Leading the Way,Lct_BB009,Number,EPN,Braintree,51.86536349,0.5760433,3455.9,3555.5,3687.1,3830.7,4003.4,4258.0,4488.4,4880.5,5353.7,5972.4,6539.5,7425.3,8455.2,9644.2,11582.7,12560.4,14446.2,16269.5,18114.4,19909.3,19944.6,21530.9,22936.2,24163.2,25181.7,24491.5,25239.5,25985.3,26678.2,26845.0,
Leading the Way,Lct_BB009,Number,EPN,Bramford,52.07018187,1.062822573,4223.8,4342.2,4501.4,4678.0,4888.0,5004.2,5275.8,5737.4,6294.0,7020.8,7638.4,8673.2,9875.1,11264.8,13528.9,14419.0,16583.7,18677.1,20793.9,22854.5,22845.3,24661.6,26270.7,27676.4,28842.1,27938.1,28790.3,29641.8,30433.0,30623.4,
Leading the Way,Lct_BB009,Number,EPN,Brimsdown,51.66350383,-0.024884614,3486.6,3581.0,3715.8,3859.4,4034.5,4300.0,4532.8,4929.5,5406.5,6032.0,6580.7,7473.0,8508.2,9705.8,11655.9,12576.3,14465.0,16291.4,18138.1,19934.9,19833.5,21412.2,22808.9,24029.1,25040.4,24357.3,25101.1,25842.1,26532.8,26698.8,
Leading the Way,Lct_BB009,Number,EPN,Burwell Main,52.28005309,0.312061036,4254.6,4380.5,4541.5,4717.8,4931.9,5098.7,5374.9,5846.5,6413.2,7154.3,7769.4,8821.8,10043.9,11458.0,13761.1,14647.0,16846.9,18973.1,21123.3,23216.4,23061.4,24896.0,26520.4,27938.2,29114.8,28219.8,29080.5,29939.7,30738.8,30931.1,
