,carrier,type,p_nom,bus,marginal_cost,ramp_limit_up,ramp_limit_down,p_max_pu
SAICA Paper Mill,Biomass (dedicated),Biomass (dedicated),39.56285723,Daines,44,1,1,0.73
Eco Composting,Biomass (dedicated),Biomass (dedicated),3.04329671,S.W.Penisula,44,1,1,0.73
Rothes Bio-Plant,Biomass (dedicated),Biomass (dedicated),1.864698115,Beauly,44,1,1,0.73
Beckton Gas Pressure Reduction Station,Biomass (dedicated),Biomass (dedicated),18.06957421,London,44,1,1,0.73
Brigg Renewable Energy Plant (Re-submission),Biomass (dedicated),Biomass (dedicated),38.04120887,Keadby,44,1,1,0.73
Tilbury Green Power,Biomass (dedicated),Biomass (dedicated),40.89429954,Kemsley,44,1,1,0.73
Markinch Biomass CHP Plant,Biomass (dedicated),Biomass (dedicated),14.60305752,Denny/Bonnybridge,44,1,1,0.73
Templeborough Biomass Power Plant- Rotherham,Biomass (dedicated),Biomass (dedicated),39.94326931,Th. Marsh/Stocksbridge,44,1,1,0.73
Blackburn Meadows Biomass Plant,Biomass (dedicated),Biomass (dedicated),28.53090665,Th. Marsh/Stocksbridge,44,1,1,0.73
Diageo Biomass Energy Project,Biomass (dedicated),Biomass (dedicated),1.235643329,Denny/Bonnybridge,44,1,1,0.73
Discovery Park,Biomass (dedicated),Biomass (dedicated),15.21648355,Sellindge,44,1,1,0.73
Drax Biomass Power Station - Unit 3,Biomass (dedicated),Biomass (dedicated),613.414493,Thornton/Drax/Eggborough,44,1,1,0.73
King George Dock,Biomass (dedicated),Biomass (dedicated),8.559271996,Keadby,44,1,1,0.73
Northampton General Hospital,Biomass (dedicated),Biomass (dedicated),1.806957421,Sundon/East Claydon,44,1,1,0.73
Snetterton Biomass Plant,Biomass (dedicated),Biomass (dedicated),42.0355358,Bramford,44,1,1,0.73
Speyside Biomass CHP Plant,Biomass (dedicated),Biomass (dedicated),2.808280293,Beauly,44,1,1,0.73
Widnes 3MG Biomass/Mersey Bioenergy (CHP) Plant,Biomass (dedicated),Biomass (dedicated),19.02060444,Deeside,44,1,1,0.73
Drax Biomass Power Station - Unit 2,Biomass (dedicated),Biomass (dedicated),613.414493,Thornton/Drax/Eggborough,44,1,1,0.73
Stevens Croft,Biomass (dedicated),Biomass (dedicated),47.93192318,Harker,44,1,1,0.73
Macphie of Glenbervie,Biomass (dedicated),Biomass (dedicated),0.269594908,Peterhead,44,1,1,0.73
Sleaford Renewable Energy Plant,Biomass (dedicated),Biomass (dedicated),38.04120887,Ratcliffe,44,1,1,0.73
Sustainable Power and Research Campus,Biomass (dedicated),Biomass (dedicated),1.460305752,Torness,44,1,1,0.73
Whitemoor,Biomass (dedicated),Biomass (dedicated),17.11854399,Thornton/Drax/Eggborough,44,1,1,0.73
Daventry,Biomass (dedicated),Biomass (dedicated),0.951030222,Sundon/East Claydon,44,1,1,0.73
The Sawmill,Biomass (dedicated),Biomass (dedicated),6.467005508,Ratcliffe,44,1,1,0.73
Felinfach,Biomass (dedicated),Biomass (dedicated),3.04329671,Deeside,44,1,1,0.73
Acharn Forest Killin Biomass Plant,Biomass (dedicated),Biomass (dedicated),1.258109571,Errochty,44,1,1,0.73
Hull Biomass Plant (Tansterne power station),Biomass (dedicated),Biomass (dedicated),20.92266488,Keadby,44,1,1,0.73
Pulteney Distillery,Biomass (dedicated),Biomass (dedicated),0.786318482,Peterhead,44,1,1,0.73
Harbour Road,Biomass (dedicated),Biomass (dedicated),0.584122301,Neilston,44,1,1,0.73
Barnsley 1.5,Biomass (dedicated),Biomass (dedicated),8.559271996,Th. Marsh/Stocksbridge,44,1,1,0.73
Spalding.1,Biomass (dedicated),Biomass (dedicated),13.78993822,Walpole,44,1,1,0.73
Balderton,Biomass (dedicated),Biomass (dedicated),19.3059135,Ratcliffe,44,1,1,0.73
Liberty Steel Power Station,Biomass (dedicated),Biomass (dedicated),8.559271996,Melksham,44,1,1,0.73
JG Pears' animal rendering facility,Biomass (dedicated),Biomass (dedicated),11.41236266,Keadby,44,1,1,0.73
Blazer Fuels,Biomass (dedicated),Biomass (dedicated),2.853090665,Deeside,44,1,1,0.73
Loicher Lane,Biomass (dedicated),Biomass (dedicated),7.608241774,Th. Marsh/Stocksbridge,44,1,1,0.73
Safran Landing Systems Service,Biomass (dedicated),Biomass (dedicated),3.423708798,Feckenham,44,1,1,0.73
ABP Ellesmere Abbatoir,Biomass (dedicated),Biomass (dedicated),1.046133244,Deeside,44,1,1,0.73
Alscot,Biomass (dedicated),Biomass (dedicated),1.521648355,Feckenham,44,1,1,0.73
Ipswich Hospital Energy Centre,Biomass (dedicated),Biomass (dedicated),2.472678577,Bramford,44,1,1,0.73
Drax Biomass Power Station - Unit 4,Biomass (dedicated),Biomass (dedicated),613.414493,Thornton/Drax/Eggborough,44,1,1,0.73
Liberty Steel Dalzell,Biomass (dedicated),Biomass (dedicated),3.819261199,Strathaven,44,1,1,0.73
Sutton Bridge CCS Biomass,CCS Biomass,CCS Biomass,77.59618,Walpole,120,1,1,1
Baglan Bay CCS Biomass,CCS Biomass,CCS Biomass,49.267418,Melksham,120,1,1,1
Severn Power CCS Biomass,CCS Biomass,CCS Biomass,80.53328,Melksham,120,1,1,1
Blackburn CCS Biomass,CCS Biomass,CCS Biomass,5.684702,Penwortham,120,1,1,1
Damhead Creek CCS Biomass,CCS Biomass,CCS Biomass,76.26975,Kemsley,120,1,1,1
Rye House CCS Biomass,CCS Biomass,CCS Biomass,67.7427,Pelham,120,1,1,1
Shoreham CCS Biomass,CCS Biomass,CCS Biomass,39.792915,Lovedean,120,1,1,1
Castleford CCS Biomass,CCS Biomass,CCS Biomass,5.3057218,Thornton/Drax/Eggborough,120,1,1,1
Sandbach CCS Biomass,CCS Biomass,CCS Biomass,5.3057218,Daines,120,1,1,1
Thornhill CCS Biomass,CCS Biomass,CCS Biomass,4.7372518,Th. Marsh/Stocksbridge,120,1,1,1
West Burton CCGT CCS Biomass,CCS Biomass,CCS Biomass,126.200386,Keadby,120,1,1,1
South Humber Bank CCS Biomass,CCS Biomass,CCS Biomass,129.32697,Keadby,120,1,1,1
Langage CCS Biomass,CCS Biomass,CCS Biomass,85.744255,S.W.Penisula,120,1,1,1
Corby CCS Biomass,CCS Biomass,CCS Biomass,38.56123,Ratcliffe,120,1,1,1
Carrington CCS Biomass,CCS Biomass,CCS Biomass,86.21798,Daines,120,1,1,1
Fellside CHP* CCS Biomass,CCS Biomass,CCS Biomass,14.68548,Harker,120,1,1,1
Rocksavage CCS Biomass,CCS Biomass,CCS Biomass,76.74348,Deeside,120,1,1,1
Coryton CCS Biomass,CCS Biomass,CCS Biomass,75.79603,Kemsley,120,1,1,1
Spalding CCS Biomass,CCS Biomass,CCS Biomass,90.00778,Walpole,120,1,1,1
Marchwood CCS Biomass,CCS Biomass,CCS Biomass,85.08104,Lovedean,120,1,1,1
Didcot B CCS Biomass,CCS Biomass,CCS Biomass,137.3803,Bramley,120,1,1,1
Great Yarmouth CCS Biomass,CCS Biomass,CCS Biomass,39.792915,Bramford,120,1,1,1
Little Barford CCS Biomass,CCS Biomass,CCS Biomass,68.500656,Sundon/East Claydon,120,1,1,1
Pembroke CCS Biomass,CCS Biomass,CCS Biomass,208.34433,Melksham,120,1,1,1
Staythorpe C CCS Biomass,CCS Biomass,CCS Biomass,167.8882,Ratcliffe,120,1,1,1
Seabank CCS Biomass,CCS Biomass,CCS Biomass,116.915375,Melksham,120,1,1,1
Peterhead CCS Biomass,CCS Biomass,CCS Biomass,111.79914,Peterhead,120,1,1,1
Keadby CCS Biomass,CCS Biomass,CCS Biomass,69.6376,Keadby,120,1,1,1
Medway CCS Biomass,CCS Biomass,CCS Biomass,71.5325,Kemsley,120,1,1,1
Saltend* CCS Biomass,CCS Biomass,CCS Biomass,113.69404,Keadby,120,1,1,1
Cottam Development Centre CCS Biomass,CCS Biomass,CCS Biomass,42.16154,Keadby,120,1,1,1
Enfield CCS Biomass,CCS Biomass,CCS Biomass,38.655975,London,120,1,1,1
Grain CHP* CCS Biomass,CCS Biomass,CCS Biomass,143.72821,Kemsley,120,1,1,1
VPI Immingham* CCS Biomass,CCS Biomass,CCS Biomass,118.62078,Keadby,120,1,1,1
Connahs Quay CCS Biomass,CCS Biomass,CCS Biomass,130.74815,Deeside,120,1,1,1
Sutton Bridge,Natural Gas,CCGT,0,Walpole,,1,1,1
Baglan Bay,Natural Gas,CCGT,0,Melksham,,1,1,1
Severn Power,Natural Gas,CCGT,0,Melksham,,1,1,1
Blackburn,Natural Gas,CCGT,0,Penwortham,,1,1,1
Damhead Creek,Natural Gas,CCGT,0,Kemsley,,1,1,1
Rye House,Natural Gas,CCGT,0,Pelham,,1,1,1
Shoreham,Natural Gas,CCGT,0,Lovedean,,1,1,1
Castleford,Natural Gas,CCGT,0,Thornton/Drax/Eggborough,,1,1,1
Sandbach,Natural Gas,CCGT,0,Daines,,1,1,1
Thornhill,Natural Gas,CCGT,0,Th. Marsh/Stocksbridge,,1,1,1
West Burton CCGT,Natural Gas,CCGT,0,Keadby,,1,1,1
South Humber Bank,Natural Gas,CCGT,0,Keadby,,1,1,1
Langage,Natural Gas,CCGT,0,S.W.Penisula,,1,1,1
Corby,Natural Gas,CCGT,0,Ratcliffe,,1,1,1
Carrington,Natural Gas,CCGT,0,Daines,,1,1,1
Fellside CHP*,Natural Gas,CCGT,0,Harker,,1,1,1
Rocksavage,Natural Gas,CCGT,0,Deeside,,1,1,1
Coryton,Natural Gas,CCGT,0,Kemsley,,1,1,1
Spalding,Natural Gas,CCGT,0,Walpole,,1,1,1
Marchwood,Natural Gas,CCGT,0,Lovedean,,1,1,1
Didcot B,Natural Gas,CCGT,0,Bramley,,1,1,1
Great Yarmouth,Natural Gas,CCGT,0,Bramford,,1,1,1
Little Barford,Natural Gas,CCGT,0,Sundon/East Claydon,,1,1,1
Pembroke,Natural Gas,CCGT,0,Melksham,,1,1,1
Staythorpe C,Natural Gas,CCGT,0,Ratcliffe,,1,1,1
Seabank,Natural Gas,CCGT,0,Melksham,,1,1,1
Peterhead,Natural Gas,CCGT,0,Peterhead,,1,1,1
Keadby,Natural Gas,CCGT,0,Keadby,,1,1,1
Medway,Natural Gas,CCGT,0,Kemsley,,1,1,1
Saltend*,Natural Gas,CCGT,0,Keadby,,1,1,1
Cottam Development Centre,Natural Gas,CCGT,0,Keadby,,1,1,1
Enfield,Natural Gas,CCGT,0,London,,1,1,1
Grain CHP*,Natural Gas,CCGT,0,Kemsley,,1,1,1
VPI Immingham*,Natural Gas,CCGT,0,Keadby,,1,1,1
Connahs Quay,Natural Gas,CCGT,0,Deeside,,1,1,1
Peterborough,Natural Gas,OCGT,0,Walpole,,1,1,1
Glanford Brigg,Natural Gas,OCGT,0,Keadby,,1,1,1
Barkantine Heat & Power *,Natural Gas,OCGT,0,London,,1,1,1
London Heat & Power *,Natural Gas,OCGT,0,London,,1,1,1
Wilton GT*,Natural Gas,OCGT,0,Stella West,,1,1,1
Burghfield,Natural Gas,OCGT,0,Bramley,,1,1,1
Chickerell,Natural Gas,OCGT,0,S.W.Penisula,,1,1,1
Chippenham,Natural Gas,OCGT,0,Melksham,,1,1,1
Pilkington - Greengate *,Natural Gas,OCGT,0,Deeside,,1,1,1
Killingholme,Natural Gas,OCGT,0,Keadby,,1,1,1
Dungeness B,Nuclear,AGR,1313.564856,Sellindge,5,0.03,0.03,0.73
Hartlepool,Nuclear,AGR,1428.049866,Stella West,5,0.03,0.03,0.73
Heysham 1,Nuclear,AGR,1277.411695,Penwortham,5,0.03,0.03,0.73
Heysham 2,Nuclear,AGR,1494.330662,Penwortham,5,0.03,0.03,0.73
Hinkley Point B,Nuclear,AGR,1162.926684,S.W.Penisula,5,0.03,0.03,0.73
Hunterston B,Nuclear,AGR,0,Neilston,5,0.03,0.03,0.73
Torness,Nuclear,AGR,0,Torness,5,0.03,0.03,0.73
Sizewell B,Nuclear,PWR,1443.716236,Bramford,5,0.03,0.03,0.73
Baglan Bay GT,Oil,Diesel/gas Diesel/Gas oil,0,Melksham,,1,1,1
Drax GT,Oil,Diesel/gas Diesel/Gas oil,0,Thornton/Drax/Eggborough,,1,1,1
West Burton GT,Oil,Diesel/gas Diesel/Gas oil,0,Keadby,,1,1,1
Keadby GT,Oil,Diesel/gas Diesel/Gas oil,0,Keadby,,1,1,1
Grain GT,Oil,Diesel/gas Diesel/Gas oil,0,Kemsley,,1,1,1
Cowes,Oil,Diesel/Gas oil,0,Lovedean,,1,1,1
Didcot GT,Oil,Diesel/Gas oil,0,Sundon/East Claydon,,1,1,1
Little Barford GT,Oil,Diesel/Gas oil,0,Sundon/East Claydon,,1,1,1
Lerwick,Oil,Diesel/Gas oil,0,Peterhead,,1,1,1
Thatcham,Oil,Diesel/Gas oil,0,Bramley,,1,1,1
Arnish,Oil,Diesel/Gas oil,0,Beauly,,1,1,1
Barra,Oil,Diesel/Gas oil,0,Beauly,,1,1,1
Bowmore,Oil,Diesel/Gas oil,0,Neilston,,1,1,1
Kirkwall,Oil,Diesel/Gas oil,0,Peterhead,,1,1,1
"Loch Carnan, South Uist",Oil,Diesel/Gas oil,0,Beauly,,1,1,1
Stornoway,Oil,Diesel/Gas oil,0,Beauly,,1,1,1
Tiree,Oil,Diesel/Gas oil,0,Neilston,,1,1,1
Indian Queens,Oil,Diesel/Gas oil,0,S.W.Penisula,,1,1,1
Grain (OCGT),Oil,Diesel/Gas oil,0,Kemsley,,1,1,1
Taylor's Lane GT,Oil,Diesel/Gas oil,0,Lovedean,,1,1,1
Ferrybridge Multifuel 2 (FM2),Waste,Waste,46.2,Thornton/Drax/Eggborough,0,0,0,0
Ferrybridge Multifuel 1 (FM1),Waste,Waste,44.88,Thornton/Drax/Eggborough,0,0,0,0
Dudley EfW,Waste,Waste,4.884,Feckenham,0,0,0,0
Wolverhampton EfW,Waste,Waste,5.28,Feckenham,0,0,0,0
Stoke-on-Trent EfW,Waste,Waste,9.372,Daines,0,0,0,0
Tyseley ERF,Waste,Waste,19.8,Feckenham,0,0,0,0
Haverton Hill Incinerator,Waste,Waste,13.266,Stella West,0,0,0,0
"Fibrepower, Slough",Waste,Waste,33,London,0,0,0,0
Chineham ERF,Waste,Waste,5.28,Bramley,0,0,0,0
Marchwood ERF,Waste,Waste,10.56,Lovedean,0,0,0,0
Vine Street EfW,Waste,Waste,6.27,Th. Marsh/Stocksbridge,0,0,0,0
Newlincs EfW,Waste,Waste,2.112,Keadby,0,0,0,0
Trackwork Limited (EfW),Waste,Waste,1.98,Th. Marsh/Stocksbridge,0,0,0,0
Riverside Resource Recovery Facility (RRRF),Waste,Waste,47.52,London,0,0,0,0
Lakeside EfW,Waste,Waste,19.8,London,0,0,0,0
Baldovie,Waste,Waste,5.478,Denny/Bonnybridge,0,0,0,0
Allington EFW,Waste,Waste,33.66,Kemsley,0,0,0,0
Coventry,Waste,Waste,2.97,Feckenham,0,0,0,0
Ardwick Railway Goods Yard Incinerator (Newhaven EFW Plant),Waste,Waste,22.11,Daines,0,0,0,0
Bolton TRF,Waste,Waste,7.128,Daines,0,0,0,0
North Quay ERF,Waste,Waste,12.078,Lovedean,0,0,0,0
Sheffield ERF,Waste,Waste,12.738,Th. Marsh/Stocksbridge,0,0,0,0
Peterborough EfW,Waste,Waste,4.818,Walpole,0,0,0,0
Battlefield EfW,Waste,Waste,5.28,Deeside,0,0,0,0
Four Ashes EfW,Waste,Waste,15.18,Feckenham,0,0,0,0
Cornwall ERC,Waste,Waste,13.2,S.W.Penisula,0,0,0,0
Severnside Energy Recovery Centre,Waste,Waste,21.12,Melksham,0,0,0,0
Trident Park,Waste,Waste,19.8,Melksham,0,0,0,0
Lincoln EFW,Waste,Waste,10.824,Keadby,0,0,0,0
North East Energy Recovery Centre (adjacent to Teesside EfW),Waste,Waste,13.86,Stella West,0,0,0,0
Wilton 11 EfW,Waste,Waste,32.34,Stella West,0,0,0,0
Runcorn EfW,Waste,Waste,66,Deeside,0,0,0,0
Cross Green ERF,Waste,Waste,7.656,Thornton/Drax/Eggborough,0,0,0,0
Exeter EfW,Waste,Waste,8.58,S.W.Penisula,0,0,0,0
North Yard EfW,Waste,Waste,14.85,S.W.Penisula,0,0,0,0
Beddington EfW,Waste,Waste,17.16,London,0,0,0,0
K3 CHP Facility (Kemsley EfW),Waste,Waste,32.934,Kemsley,0,0,0,0
Allerton Waste Recovery Park (EfW),Waste,Waste,17.82,Thornton/Drax/Eggborough,0,0,0,0
Ardley EfW,Waste,Waste,15.84,Sundon/East Claydon,0,0,0,0
Greatmoor EfW,Waste,Waste,14.52,Sundon/East Claydon,0,0,0,0
Twinwoods Heat & Power CHP,Waste,Waste,2.244,Sundon/East Claydon,0,0,0,0
Dunbar EfW (previously Oxwellmains EfW),Waste,Waste,16.896,Torness,0,0,0,0
Great Blakenham EfW,Waste,Waste,13.2,Bramford,0,0,0,0
Javelin Park EfW,Waste,Waste,9.57,Melksham,0,0,0,0
Parc Adfer EfW,Waste,Waste,10.56,Deeside,0,0,0,0
EnviRecover,Waste,Waste,10.23,Feckenham,0,0,0,0
Avonmouth Resource Recovery Centre (formerly Severn Road),Waste,Waste,22.44,Melksham,0,0,0,0
Fawley Waste to Energy Plant,Waste,Waste,5.676,Lovedean,0,0,0,0
Portsmouth ERF,Waste,Waste,9.24,Lovedean,0,0,0,0
Edmonton EcoPark EfW,Waste,Waste,36.3,London,0,0,0,0
Teesside EfW,Waste,Waste,12.672,Stella West,0,0,0,0
Teesside EfW (extension),Waste,Waste,6.6,Stella West,0,0,0,0
SELCHP ERF,Waste,Waste,23.1,London,0,0,0,0
Millerhill EfW (resubmission),Waste,Waste,8.25,Torness,0,0,0,0
Eastcroft EfW (Lines 1 & 2),Waste,Waste,5.94,Ratcliffe,0,0,0,0
Sutton Bridge Hydrogen,Hydrogen,Hydrogen,486.5606363,Walpole,80,1,1,1
Baglan Bay Hydrogen,Hydrogen,Hydrogen,308.9273881,Melksham,80,1,1,1
Severn Power Hydrogen,Hydrogen,Hydrogen,504.9774614,Melksham,80,1,1,1
Blackburn Hydrogen,Hydrogen,Hydrogen,35.64546786,Penwortham,80,1,1,1
Damhead Creek Hydrogen,Hydrogen,Hydrogen,478.2433605,Kemsley,80,1,1,1
Rye House Hydrogen,Hydrogen,Hydrogen,424.7751587,Pelham,80,1,1,1
Shoreham Hydrogen,Hydrogen,Hydrogen,249.518275,Lovedean,80,1,1,1
Castleford Hydrogen,Hydrogen,Hydrogen,33.26910334,Thornton/Drax/Eggborough,80,1,1,1
Sandbach Hydrogen,Hydrogen,Hydrogen,33.26910334,Daines,80,1,1,1
Thornhill Hydrogen,Hydrogen,Hydrogen,29.70455655,Th. Marsh/Stocksbridge,80,1,1,1
West Burton CCGT Hydrogen,Hydrogen,Hydrogen,791.3293865,Keadby,80,1,1,1
South Humber Bank Hydrogen,Hydrogen,Hydrogen,810.9343938,Keadby,80,1,1,1
Langage Hydrogen,Hydrogen,Hydrogen,537.6524736,S.W.Penisula,80,1,1,1
Corby Hydrogen,Hydrogen,Hydrogen,241.7950903,Ratcliffe,80,1,1,1
Carrington Hydrogen,Hydrogen,Hydrogen,540.6229292,Daines,80,1,1,1
Fellside CHP* Hydrogen,Hydrogen,Hydrogen,92.08412531,Harker,80,1,1,1
Rocksavage Hydrogen,Hydrogen,Hydrogen,481.2138161,Deeside,80,1,1,1
Coryton Hydrogen,Hydrogen,Hydrogen,475.2729048,Kemsley,80,1,1,1
Spalding Hydrogen,Hydrogen,Hydrogen,564.3865745,Walpole,80,1,1,1
Marchwood Hydrogen,Hydrogen,Hydrogen,533.4938357,Lovedean,80,1,1,1
Didcot B Hydrogen,Hydrogen,Hydrogen,861.43214,Bramley,80,1,1,1
Great Yarmouth Hydrogen,Hydrogen,Hydrogen,249.518275,Bramford,80,1,1,1
Little Barford Hydrogen,Hydrogen,Hydrogen,429.5278877,Sundon/East Claydon,80,1,1,1
Pembroke Hydrogen,Hydrogen,Hydrogen,1306.406397,Melksham,80,1,1,1
Staythorpe C Hydrogen,Hydrogen,Hydrogen,1052.729484,Ratcliffe,80,1,1,1
Seabank Hydrogen,Hydrogen,Hydrogen,733.1084557,Melksham,80,1,1,1
Peterhead Hydrogen,Hydrogen,Hydrogen,720.1923395,Peterhead,80,1,1,1
Keadby Hydrogen,Hydrogen,Hydrogen,436.6569813,Keadby,80,1,1,1
Medway Hydrogen,Hydrogen,Hydrogen,448.5388039,Kemsley,80,1,1,1
Saltend* Hydrogen,Hydrogen,Hydrogen,712.9093572,Keadby,80,1,1,1
Cottam Development Centre Hydrogen,Hydrogen,Hydrogen,264.3705533,Keadby,80,1,1,1
Enfield Hydrogen,Hydrogen,Hydrogen,242.3891815,London,80,1,1,1
Grain CHP* Hydrogen,Hydrogen,Hydrogen,901.2362458,Kemsley,80,1,1,1
VPI Immingham* Hydrogen,Hydrogen,Hydrogen,743.802096,Keadby,80,1,1,1
Connahs Quay Hydrogen,Hydrogen,Hydrogen,819.8457608,Deeside,80,1,1,1
