,carrier,type,p_nom,bus,marginal_cost,ramp_limit_up,ramp_limit_down,p_max_pu
Acharn Forest Killin Biomass Plant,Biomass (dedicated),Biomass (dedicated),5.88069818,Errochty,44,1,1,0.73
Hull Biomass Plant (Tansterne power station),Biomass (dedicated),Biomass (dedicated),20.56472247,Keadby,44,1,1,0.73
Pulteney Distillery,Biomass (dedicated),Biomass (dedicated),3.675436363,Peterhead,44,1,1,0.73
Harbour Road,Biomass (dedicated),Biomass (dedicated),2.730324155,Neilston,44,1,1,0.73
Barnsley 1.5,Biomass (dedicated),Biomass (dedicated),8.412841011,Th. Marsh/Stocksbridge,44,1,1,0.73
Spalding.1,Biomass (dedicated),Biomass (dedicated),13.55402163,Walpole,44,1,1,0.73
Balderton,Biomass (dedicated),Biomass (dedicated),18.97563028,Ratcliffe,44,1,1,0.73
Liberty Steel Power Station,Biomass (dedicated),Biomass (dedicated),8.412841011,Melksham,44,1,1,0.73
JG Pears' animal rendering facility,Biomass (dedicated),Biomass (dedicated),11.21712135,Keadby,44,1,1,0.73
Blazer Fuels,Biomass (dedicated),Biomass (dedicated),2.804280337,Deeside,44,1,1,0.73
Loicher Lane,Biomass (dedicated),Biomass (dedicated),7.478080898,Th. Marsh/Stocksbridge,44,1,1,0.73
Safran Landing Systems Service,Biomass (dedicated),Biomass (dedicated),3.365136404,Feckenham,44,1,1,0.73
ABP Ellesmere Abbatoir,Biomass (dedicated),Biomass (dedicated),1.028236124,Deeside,44,1,1,0.73
Alscot,Biomass (dedicated),Biomass (dedicated),1.49561618,Feckenham,44,1,1,0.73
Ipswich Hospital Energy Centre,Biomass (dedicated),Biomass (dedicated),2.430376292,Bramford,44,1,1,0.73
Drax Biomass Power Station - Unit 4,Biomass (dedicated),Biomass (dedicated),602.9202724,Thornton/Drax/Eggborough,44,1,1,0.73
Liberty Steel Dalzell,Biomass (dedicated),Biomass (dedicated),17.85211948,Strathaven,44,1,1,0.73
Sutton Bridge CCS Biomass,CCS Biomass,CCS Biomass,60.96843,Walpole,120,1,1,1
Baglan Bay CCS Biomass,CCS Biomass,CCS Biomass,38.710114,Melksham,120,1,1,1
Severn Power CCS Biomass,CCS Biomass,CCS Biomass,63.27615,Melksham,120,1,1,1
Blackburn CCS Biomass,CCS Biomass,CCS Biomass,4.466552,Penwortham,120,1,1,1
Damhead Creek CCS Biomass,CCS Biomass,CCS Biomass,59.926235,Kemsley,120,1,1,1
Rye House CCS Biomass,CCS Biomass,CCS Biomass,53.226406,Pelham,120,1,1,1
Shoreham CCS Biomass,CCS Biomass,CCS Biomass,31.265862,Lovedean,120,1,1,1
Castleford CCS Biomass,CCS Biomass,CCS Biomass,4.1687813,Thornton/Drax/Eggborough,120,1,1,1
Sandbach CCS Biomass,CCS Biomass,CCS Biomass,4.1687813,Daines,120,1,1,1
Thornhill CCS Biomass,CCS Biomass,CCS Biomass,3.7221262,Th. Marsh/Stocksbridge,120,1,1,1
West Burton CCGT CCS Biomass,CCS Biomass,CCS Biomass,99.15745,Keadby,120,1,1,1
South Humber Bank CCS Biomass,CCS Biomass,CCS Biomass,101.61405,Keadby,120,1,1,1
Langage CCS Biomass,CCS Biomass,CCS Biomass,67.37048,S.W.Penisula,120,1,1,1
Corby CCS Biomass,CCS Biomass,CCS Biomass,30.29811,Ratcliffe,120,1,1,1
Carrington CCS Biomass,CCS Biomass,CCS Biomass,67.7427,Daines,120,1,1,1
Fellside CHP* CCS Biomass,CCS Biomass,CCS Biomass,11.538591,Harker,120,1,1,1
Rocksavage CCS Biomass,CCS Biomass,CCS Biomass,60.298447,Deeside,120,1,1,1
Coryton CCS Biomass,CCS Biomass,CCS Biomass,59.55402,Kemsley,120,1,1,1
Spalding CCS Biomass,CCS Biomass,CCS Biomass,70.7204,Walpole,120,1,1,1
Marchwood CCS Biomass,CCS Biomass,CCS Biomass,66.84939,Lovedean,120,1,1,1
Didcot B CCS Biomass,CCS Biomass,CCS Biomass,107.941666,Bramley,120,1,1,1
Great Yarmouth CCS Biomass,CCS Biomass,CCS Biomass,31.265862,Bramford,120,1,1,1
Little Barford CCS Biomass,CCS Biomass,CCS Biomass,53.821945,Sundon/East Claydon,120,1,1,1
Pembroke CCS Biomass,CCS Biomass,CCS Biomass,163.69911,Melksham,120,1,1,1
Staythorpe C CCS Biomass,CCS Biomass,CCS Biomass,131.91216,Ratcliffe,120,1,1,1
Seabank CCS Biomass,CCS Biomass,CCS Biomass,91.862076,Melksham,120,1,1,1
Peterhead CCS Biomass,CCS Biomass,CCS Biomass,87.84218,Peterhead,120,1,1,1
Keadby CCS Biomass,CCS Biomass,CCS Biomass,54.715256,Keadby,120,1,1,1
Medway CCS Biomass,CCS Biomass,CCS Biomass,56.20411,Kemsley,120,1,1,1
Saltend* CCS Biomass,CCS Biomass,CCS Biomass,89.33103,Keadby,120,1,1,1
Cottam Development Centre CCS Biomass,CCS Biomass,CCS Biomass,33.126923,Keadby,120,1,1,1
Enfield CCS Biomass,CCS Biomass,CCS Biomass,30.372551,London,120,1,1,1
Grain CHP* CCS Biomass,CCS Biomass,CCS Biomass,112.92931,Kemsley,120,1,1,1
VPI Immingham* CCS Biomass,CCS Biomass,CCS Biomass,93.20204,Keadby,120,1,1,1
Connahs Quay CCS Biomass,CCS Biomass,CCS Biomass,102.73069,Deeside,120,1,1,1
Sutton Bridge,Natural Gas,CCGT,147.42,Walpole,,1,1,1
Baglan Bay,Natural Gas,CCGT,93.6,Melksham,,1,1,1
Severn Power,Natural Gas,CCGT,153,Melksham,,1,1,1
Blackburn,Natural Gas,CCGT,10.8,Penwortham,,1,1,1
Damhead Creek,Natural Gas,CCGT,144.9,Kemsley,,1,1,1
Rye House,Natural Gas,CCGT,128.7,Pelham,,1,1,1
Shoreham,Natural Gas,CCGT,75.6,Lovedean,,1,1,1
Castleford,Natural Gas,CCGT,10.08,Thornton/Drax/Eggborough,,1,1,1
Sandbach,Natural Gas,CCGT,10.08,Daines,,1,1,1
Thornhill,Natural Gas,CCGT,9,Th. Marsh/Stocksbridge,,1,1,1
West Burton CCGT,Natural Gas,CCGT,239.76,Keadby,,1,1,1
South Humber Bank,Natural Gas,CCGT,245.7,Keadby,,1,1,1
Langage,Natural Gas,CCGT,162.9,S.W.Penisula,,1,1,1
Corby,Natural Gas,CCGT,73.26,Ratcliffe,,1,1,1
Carrington,Natural Gas,CCGT,163.8,Daines,,1,1,1
Fellside CHP*,Natural Gas,CCGT,27.9,Harker,,1,1,1
Rocksavage,Natural Gas,CCGT,145.8,Deeside,,1,1,1
Coryton,Natural Gas,CCGT,144,Kemsley,,1,1,1
Spalding,Natural Gas,CCGT,171,Walpole,,1,1,1
Marchwood,Natural Gas,CCGT,161.64,Lovedean,,1,1,1
Didcot B,Natural Gas,CCGT,261,Bramley,,1,1,1
Great Yarmouth,Natural Gas,CCGT,75.6,Bramford,,1,1,1
Little Barford,Natural Gas,CCGT,130.14,Sundon/East Claydon,,1,1,1
Pembroke,Natural Gas,CCGT,395.82,Melksham,,1,1,1
Staythorpe C,Natural Gas,CCGT,318.96,Ratcliffe,,1,1,1
Seabank,Natural Gas,CCGT,222.12,Melksham,,1,1,1
Peterhead,Natural Gas,CCGT,212.4,Peterhead,,1,1,1
Keadby,Natural Gas,CCGT,132.3,Keadby,,1,1,1
Medway,Natural Gas,CCGT,135.9,Kemsley,,1,1,1
Saltend*,Natural Gas,CCGT,216,Keadby,,1,1,1
Cottam Development Centre,Natural Gas,CCGT,80.1,Keadby,,1,1,1
Enfield,Natural Gas,CCGT,73.44,London,,1,1,1
Grain CHP*,Natural Gas,CCGT,273.06,Kemsley,,1,1,1
VPI Immingham*,Natural Gas,CCGT,225.36,Keadby,,1,1,1
Connahs Quay,Natural Gas,CCGT,248.4,Deeside,,1,1,1
Peterborough,Natural Gas,OCGT,188.65,Walpole,,1,1,1
Glanford Brigg,Natural Gas,OCGT,76.23,Keadby,,1,1,1
Barkantine Heat & Power *,Natural Gas,OCGT,0.77,London,,1,1,1
London Heat & Power *,Natural Gas,OCGT,6.93,London,,1,1,1
Wilton GT*,Natural Gas,OCGT,92.4,Stella West,,1,1,1
Burghfield,Natural Gas,OCGT,38.5,Bramley,,1,1,1
Chickerell,Natural Gas,OCGT,38.5,S.W.Penisula,,1,1,1
Chippenham,Natural Gas,OCGT,7.7539,Melksham,,1,1,1
Pilkington - Greengate *,Natural Gas,OCGT,7.7,Deeside,,1,1,1
Killingholme,Natural Gas,OCGT,462,Keadby,,1,1,1
Dungeness B,Nuclear,AGR,1161.501929,Sellindge,5,0.03,0.03,0.73
Hartlepool,Nuclear,AGR,1262.733749,Stella West,5,0.03,0.03,0.73
Heysham 1,Nuclear,AGR,1129.533986,Penwortham,5,0.03,0.03,0.73
Heysham 2,Nuclear,AGR,1321.341644,Penwortham,5,0.03,0.03,0.73
Hinkley Point B,Nuclear,AGR,1028.302167,S.W.Penisula,5,0.03,0.03,0.73
Hunterston B,Nuclear,AGR,0,Neilston,5,0.03,0.03,0.73
Torness,Nuclear,AGR,0,Torness,5,0.03,0.03,0.73
Sizewell B,Nuclear,PWR,1276.586524,Bramford,5,0.03,0.03,0.73
Baglan Bay GT,Oil,Diesel/gas Diesel/Gas oil,0.646,Melksham,,1,1,1
Drax GT,Oil,Diesel/gas Diesel/Gas oil,1.5,Thornton/Drax/Eggborough,,1,1,1
West Burton GT,Oil,Diesel/gas Diesel/Gas oil,0.8,Keadby,,1,1,1
Keadby GT,Oil,Diesel/gas Diesel/Gas oil,0.5,Keadby,,1,1,1
Grain GT,Oil,Diesel/gas Diesel/Gas oil,1.12,Kemsley,,1,1,1
Cowes,Oil,Diesel/Gas oil,2.8,Lovedean,,1,1,1
Didcot GT,Oil,Diesel/Gas oil,2,Sundon/East Claydon,,1,1,1
Little Barford GT,Oil,Diesel/Gas oil,0.34,Sundon/East Claydon,,1,1,1
Lerwick,Oil,Diesel/Gas oil,1.34,Peterhead,,1,1,1
Thatcham,Oil,Diesel/Gas oil,0.18,Bramley,,1,1,1
Arnish,Oil,Diesel/Gas oil,0.2,Beauly,,1,1,1
Barra,Oil,Diesel/Gas oil,0.05,Beauly,,1,1,1
Bowmore,Oil,Diesel/Gas oil,0.12,Neilston,,1,1,1
Kirkwall,Oil,Diesel/Gas oil,0.32,Peterhead,,1,1,1
"Loch Carnan, South Uist",Oil,Diesel/Gas oil,0.22,Beauly,,1,1,1
Stornoway,Oil,Diesel/Gas oil,0.46,Beauly,,1,1,1
Tiree,Oil,Diesel/Gas oil,0.05,Neilston,,1,1,1
Indian Queens,Oil,Diesel/Gas oil,2.8,S.W.Penisula,,1,1,1
Grain (OCGT),Oil,Diesel/Gas oil,1,Kemsley,,1,1,1
Taylor's Lane GT,Oil,Diesel/Gas oil,2.88,Lovedean,,1,1,1
Ferrybridge Multifuel 2 (FM2),Waste,Waste,111.3,Thornton/Drax/Eggborough,0,0,0,0
Ferrybridge Multifuel 1 (FM1),Waste,Waste,108.12,Thornton/Drax/Eggborough,0,0,0,0
Dudley EfW,Waste,Waste,11.766,Feckenham,0,0,0,0
Wolverhampton EfW,Waste,Waste,12.72,Feckenham,0,0,0,0
Stoke-on-Trent EfW,Waste,Waste,22.578,Daines,0,0,0,0
Tyseley ERF,Waste,Waste,47.7,Feckenham,0,0,0,0
Haverton Hill Incinerator,Waste,Waste,31.959,Stella West,0,0,0,0
"Fibrepower, Slough",Waste,Waste,79.5,London,0,0,0,0
Chineham ERF,Waste,Waste,12.72,Bramley,0,0,0,0
Marchwood ERF,Waste,Waste,25.44,Lovedean,0,0,0,0
Vine Street EfW,Waste,Waste,15.105,Th. Marsh/Stocksbridge,0,0,0,0
Newlincs EfW,Waste,Waste,5.088,Keadby,0,0,0,0
Trackwork Limited (EfW),Waste,Waste,4.77,Th. Marsh/Stocksbridge,0,0,0,0
Riverside Resource Recovery Facility (RRRF),Waste,Waste,114.48,London,0,0,0,0
Lakeside EfW,Waste,Waste,47.7,London,0,0,0,0
Baldovie,Waste,Waste,13.197,Denny/Bonnybridge,0,0,0,0
Allington EFW,Waste,Waste,81.09,Kemsley,0,0,0,0
Coventry,Waste,Waste,7.155,Feckenham,0,0,0,0
Ardwick Railway Goods Yard Incinerator (Newhaven EFW Plant),Waste,Waste,53.265,Daines,0,0,0,0
Bolton TRF,Waste,Waste,17.172,Daines,0,0,0,0
North Quay ERF,Waste,Waste,29.097,Lovedean,0,0,0,0
Sheffield ERF,Waste,Waste,30.687,Th. Marsh/Stocksbridge,0,0,0,0
Peterborough EfW,Waste,Waste,11.607,Walpole,0,0,0,0
Battlefield EfW,Waste,Waste,12.72,Deeside,0,0,0,0
Four Ashes EfW,Waste,Waste,36.57,Feckenham,0,0,0,0
Cornwall ERC,Waste,Waste,31.8,S.W.Penisula,0,0,0,0
Severnside Energy Recovery Centre,Waste,Waste,50.88,Melksham,0,0,0,0
Trident Park,Waste,Waste,47.7,Melksham,0,0,0,0
Lincoln EFW,Waste,Waste,26.076,Keadby,0,0,0,0
North East Energy Recovery Centre (adjacent to Teesside EfW),Waste,Waste,33.39,Stella West,0,0,0,0
Wilton 11 EfW,Waste,Waste,77.91,Stella West,0,0,0,0
Runcorn EfW,Waste,Waste,159,Deeside,0,0,0,0
Cross Green ERF,Waste,Waste,18.444,Thornton/Drax/Eggborough,0,0,0,0
Exeter EfW,Waste,Waste,20.67,S.W.Penisula,0,0,0,0
North Yard EfW,Waste,Waste,35.775,S.W.Penisula,0,0,0,0
Beddington EfW,Waste,Waste,41.34,London,0,0,0,0
K3 CHP Facility (Kemsley EfW),Waste,Waste,79.341,Kemsley,0,0,0,0
Allerton Waste Recovery Park (EfW),Waste,Waste,42.93,Thornton/Drax/Eggborough,0,0,0,0
Ardley EfW,Waste,Waste,38.16,Sundon/East Claydon,0,0,0,0
Greatmoor EfW,Waste,Waste,34.98,Sundon/East Claydon,0,0,0,0
Twinwoods Heat & Power CHP,Waste,Waste,5.406,Sundon/East Claydon,0,0,0,0
Dunbar EfW (previously Oxwellmains EfW),Waste,Waste,40.704,Torness,0,0,0,0
Great Blakenham EfW,Waste,Waste,31.8,Bramford,0,0,0,0
Javelin Park EfW,Waste,Waste,23.055,Melksham,0,0,0,0
Parc Adfer EfW,Waste,Waste,25.44,Deeside,0,0,0,0
EnviRecover,Waste,Waste,24.645,Feckenham,0,0,0,0
Avonmouth Resource Recovery Centre (formerly Severn Road),Waste,Waste,54.06,Melksham,0,0,0,0
Fawley Waste to Energy Plant,Waste,Waste,13.674,Lovedean,0,0,0,0
Portsmouth ERF,Waste,Waste,22.26,Lovedean,0,0,0,0
Edmonton EcoPark EfW,Waste,Waste,87.45,London,0,0,0,0
Teesside EfW,Waste,Waste,30.528,Stella West,0,0,0,0
Teesside EfW (extension),Waste,Waste,15.9,Stella West,0,0,0,0
SELCHP ERF,Waste,Waste,55.65,London,0,0,0,0
Millerhill EfW (resubmission),Waste,Waste,19.875,Torness,0,0,0,0
Eastcroft EfW (Lines 1 & 2),Waste,Waste,14.31,Ratcliffe,0,0,0,0
Sutton Bridge Hydrogen,Hydrogen,Hydrogen,200.7525223,Walpole,80,1,1,1
Baglan Bay Hydrogen,Hydrogen,Hydrogen,127.4619189,Melksham,80,1,1,1
Severn Power Hydrogen,Hydrogen,Hydrogen,208.3512136,Melksham,80,1,1,1
Blackburn Hydrogen,Hydrogen,Hydrogen,14.70714449,Penwortham,80,1,1,1
Damhead Creek Hydrogen,Hydrogen,Hydrogen,197.3208553,Kemsley,80,1,1,1
Rye House Hydrogen,Hydrogen,Hydrogen,175.2601385,Pelham,80,1,1,1
Shoreham Hydrogen,Hydrogen,Hydrogen,102.9500114,Lovedean,80,1,1,1
Castleford Hydrogen,Hydrogen,Hydrogen,13.72666819,Thornton/Drax/Eggborough,80,1,1,1
Sandbach Hydrogen,Hydrogen,Hydrogen,13.72666819,Daines,80,1,1,1
Thornhill Hydrogen,Hydrogen,Hydrogen,12.25595374,Th. Marsh/Stocksbridge,80,1,1,1
West Burton CCGT Hydrogen,Hydrogen,Hydrogen,326.4986077,Keadby,80,1,1,1
South Humber Bank Hydrogen,Hydrogen,Hydrogen,334.5875372,Keadby,80,1,1,1
Langage Hydrogen,Hydrogen,Hydrogen,221.8327628,S.W.Penisula,80,1,1,1
Corby Hydrogen,Hydrogen,Hydrogen,99.76346347,Ratcliffe,80,1,1,1
Carrington Hydrogen,Hydrogen,Hydrogen,223.0583581,Daines,80,1,1,1
Fellside CHP* Hydrogen,Hydrogen,Hydrogen,37.9934566,Harker,80,1,1,1
Rocksavage Hydrogen,Hydrogen,Hydrogen,198.5464506,Deeside,80,1,1,1
Coryton Hydrogen,Hydrogen,Hydrogen,196.0952599,Kemsley,80,1,1,1
Spalding Hydrogen,Hydrogen,Hydrogen,232.8631211,Walpole,80,1,1,1
Marchwood Hydrogen,Hydrogen,Hydrogen,220.1169292,Lovedean,80,1,1,1
Didcot B Hydrogen,Hydrogen,Hydrogen,355.4226586,Bramley,80,1,1,1
Great Yarmouth Hydrogen,Hydrogen,Hydrogen,102.9500114,Bramford,80,1,1,1
Little Barford Hydrogen,Hydrogen,Hydrogen,177.2210911,Sundon/East Claydon,80,1,1,1
Pembroke Hydrogen,Hydrogen,Hydrogen,539.0168456,Melksham,80,1,1,1
Staythorpe C Hydrogen,Hydrogen,Hydrogen,434.3510007,Ratcliffe,80,1,1,1
Seabank Hydrogen,Hydrogen,Hydrogen,302.4769384,Melksham,80,1,1,1
Peterhead Hydrogen,Hydrogen,Hydrogen,687.5764887,Peterhead,80,1,1,1
Keadby Hydrogen,Hydrogen,Hydrogen,180.16252,Keadby,80,1,1,1
Medway Hydrogen,Hydrogen,Hydrogen,185.0649015,Kemsley,80,1,1,1
Saltend* Hydrogen,Hydrogen,Hydrogen,294.1428898,Keadby,80,1,1,1
Cottam Development Centre Hydrogen,Hydrogen,Hydrogen,109.0779883,Keadby,80,1,1,1
Enfield Hydrogen,Hydrogen,Hydrogen,100.0085825,London,80,1,1,1
