name,p_nom,carrier,marginal_cost,max_hours,efficiency_store,efficiency_dispatch,state_of_charge_initial,bus,standing_loss,capital_cost,p_nom_extendable,,,,,,,,,,,,,,,,,,,,
Sellindge Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Sellindge,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Lovedean Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Lovedean,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
S.W.Penisula Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,S.W.Penisula,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Beauly Liquid Air,82.91724138,Liquid Air,0,4.16393579,0.69,0.69,345.262069,Beauly,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Peterhead Liquid Air,82.91724138,Liquid Air,0,4.16393579,0.69,0.69,345.262069,Peterhead,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Errochty Liquid Air,82.91724138,Liquid Air,0,4.16393579,0.69,0.69,345.262069,Errochty,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Denny/Bonnybridge Liquid Air,82.91724138,Liquid Air,0,4.16393579,0.69,0.69,345.262069,Denny/Bonnybridge,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Neilston Liquid Air,82.91724138,Liquid Air,0,4.16393579,0.69,0.69,345.262069,Neilston,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Strathaven Liquid Air,82.91724138,Liquid Air,0,4.16393579,0.69,0.69,345.262069,Strathaven,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Torness Liquid Air,82.91724138,Liquid Air,0,4.16393579,0.69,0.69,345.262069,Torness,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Eccles Liquid Air,82.91724138,Liquid Air,0,4.16393579,0.69,0.69,345.262069,Eccles,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Harker Liquid Air,82.91724138,Liquid Air,0,4.16393579,0.69,0.69,345.262069,Harker,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Stella West Liquid Air,82.91724138,Liquid Air,0,4.16393579,0.69,0.69,345.262069,Stella West,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
